species,email,seenNotSeen
Abeillia abeillei,kgobel0@archive.org,TRUE
Acanthidops bairdi,meyeington1@sciencedirect.com,FALSE
Accipiter striatus,pcaller2@youtu.be,FALSE
Accipiter cooperii,msheehy3@deviantart.com,FALSE
Accipiter gundlachi,ravrahm4@pbs.org,FALSE
Accipiter bicolor,bmeriton5@uol.com.br,FALSE
Accipiter gentilis,arottcher6@amazon.de,FALSE
Acridotheres tristis,sotoole7@tumblr.com,FALSE
Acrocephalus familiaris,bludye8@livejournal.com,FALSE
Acrocephalus schoenobaenus,fmoorman9@exblog.jp,FALSE
Acrocephalus dumetorum,rskinnera@blog.com,TRUE
Aechmophorus occidentalis,vmacarteb@diigo.com,TRUE
Aechmophorus clarkii,fburchillc@tamu.edu,FALSE
Aegolius funereus,gsansd@skyrock.com,TRUE
Aegolius acadicus,emcgeaghe@google.com.hk,TRUE
Aegolius ridgwayi,ieaglingf@hugedomains.com,TRUE
Aerodramus bartschi,edellarg@t.co,TRUE
Aeronautes saxatalis,jkingzetth@illinois.edu,FALSE
Aethia psittacula,lforti@sbwire.com,FALSE
Aethia pusilla,clindberghj@php.net,FALSE
Aethia pygmaea,abartolomeazzik@squidoo.com,FALSE
Aethia cristatella,arueggl@ustream.tv,FALSE
Agamia agami,mspearsm@sfgate.com,TRUE
Agelaius humeralis,dwhenmann@qq.com,FALSE
Agelaius xanthomus,rmapso@forbes.com,TRUE
Aimophila rufescens,dalibonep@cpanel.net,FALSE
Aimophila ruficeps,shaglintonq@pinterest.com,FALSE
Aimophila notosticta,dhenrysr@usatoday.com,FALSE
Alauda arvensis,ddurlings@wisc.edu,TRUE
Alca torda,giansont@wiley.com,TRUE
Alectoris chukar,gweathersu@rakuten.co.jp,FALSE
Alle alle,rphilippsonv@hhs.gov,TRUE
Allenia fusca,gcutcheew@noaa.gov,FALSE
Amandava amandava,ngammackx@feedburner.com,FALSE
Amaurolimnas concolor,vquinny@etsy.com,FALSE
Ammodramus savannarum,mstrethillz@friendfeed.com,TRUE
Amphispiza quinquestriata,rdurnford10@telegraph.co.uk,TRUE
Amphispiza bilineata,ccunrado11@miibeian.gov.cn,FALSE
Amphispizopsis quinquestriata,jshorland12@google.com.hk,FALSE
Androdon aequatorialis,aofihillie13@loc.gov,FALSE
Anser canagicus,kdaingerfield14@bloglines.com,FALSE
Anser caerulescens,tfinnie15@joomla.org,TRUE
Anser rossii,lpoulton16@furl.net,FALSE
Anser anser,gshegog17@jalbum.net,TRUE
Anser albifrons,kcerie18@vinaora.com,FALSE
Anser erythropus,hebben19@imageshack.us,FALSE
Anser fabalis,lkerman1a@independent.co.uk,TRUE
Anser serrirostris,lhonnicott1b@phoca.cz,FALSE
Anser brachyrhynchus,mbiernat1c@ed.gov,FALSE
Anthus trivialis,lwycherley1d@usgs.gov,FALSE
Anthus rubescens,tcardew1e@parallels.com,FALSE
Anthus pratensis,aamar1f@oaic.gov.au,TRUE
Anthus spragueii,hwitz1g@tmall.com,TRUE
Anthus lutescens,abirtwhistle1h@ftc.gov,FALSE
Antigone canadensis,amaclaren1i@dion.ne.jp,TRUE
Antrostomus vociferus,dlongworthy1j@oaic.gov.au,FALSE
Antrostomus saturatus,hsciacovelli1k@craigslist.org,FALSE
Antrostomus arizonae,otapper1l@apple.com,TRUE
Antrostomus noctitherus,boffer1m@forbes.com,TRUE
Aphelocoma woodhouseii,kcantor1n@dell.com,TRUE
Aphelocoma ultramarina,afridlington1o@mysql.com,FALSE
Aphelocoma wollweberi,ostobo1p@dailymotion.com,TRUE
Aphelocoma unicolor,bcofax1q@mozilla.com,TRUE
Apus apus,ewoolstenholmes1r@creativecommons.org,TRUE
Apus pacificus,fprobbing1s@about.com,TRUE
Apus melba,gbulward1t@virginia.edu,TRUE
Aquila chrysaetos,cnixon1u@biblegateway.com,FALSE
Aramides axillaris,uclines1v@over-blog.com,TRUE
Aramides albiventris,rbillinge1w@php.net,TRUE
Aramides cajaneus,sdanneil1x@dion.ne.jp,TRUE
Aramus guarauna,mnield1y@cyberchimps.com,TRUE
Archilochus colubris,tgokes1z@sitemeter.com,TRUE
Archilochus alexandri,aecclestone20@technorati.com,FALSE
Ardea herodias,bmarkham21@google.com,FALSE
Ardea cinerea,lrogerot22@ow.ly,FALSE
Ardea cocoi,lluker23@admin.ch,TRUE
Ardea purpurea,mgatherell24@answers.com,FALSE
Ardea alba,bcoady25@dropbox.com,TRUE
Ardenna pacifica,pstuchberry26@tamu.edu,FALSE
Ardenna bulleri,jbriscam27@abc.net.au,TRUE
