email,species,dateTime,longitude,latitude,stateName
afarnes79@businessweek.com,Sporophila crassirostris,2021-12-27 20:37:48,-121.8034,47.4323,Washington
timosdg@hc360.com,Elanus leucurus,2021-05-20 08:52:30,-106.3,31.6948,Texas
jcapnoran@pagesperso-orange.fr,Selasphorus rufus,2021-07-21 14:41:35,-73.9772,40.7808,New York
pcowpland9p@about.com,Rhynchortyx cinctus,2021-08-23 22:33:37,-78.8115,42.9335,New York
kdavidowsky7r@merriam-webster.com,Chordeiles acutipennis,2021-09-23 11:32:06,-80.9708,34.006,South Carolina
hritter8u@nasa.gov,Empidonax traillii,2021-04-30 09:06:01,-76.2604,36.8787,Virginia
bcoady25@dropbox.com,Lampornis amethystinus,2021-08-04 08:32:36,-95.4854,29.6518,Texas
sthyer3a@google.nl,Gavia immer,2021-05-25 00:28:07,-83.7108,43.0113,Michigan
cthibodeaux4z@google.it,Chamaepetes unicolor,2022-01-07 07:25:19,-116.244,43.4599,Idaho
hstarking37@comsenz.com,Zonotrichia querula,2022-03-09 19:02:50,-79.9535,42.1087,Pennsylvania
hnitto9l@blogspot.com,Trogon collaris,2021-08-16 05:22:18,-87.6528,41.9399,Illinois
bveazeyca@ebay.com,Psittirostra psittacea,2021-12-19 23:39:53,-122.741,38.068,California
mbyrth4r@apple.com,Sporophila crassirostris,2021-11-13 04:38:16,-121.9215,37.6802,California
wcarpmilec6@meetup.com,Morphnus guianensis,2022-02-21 09:11:19,-73.9772,40.7808,New York
spurkinsb0@slashdot.org,Geranospiza caerulescens,2021-12-10 03:27:59,-89.9921,35.0664,Tennessee
mayreb2@studiopress.com,Chordeiles minor,2021-08-04 01:05:43,-112.1872,33.2765,Arizona
ralywincx@ustream.tv,Apus pacificus,2021-10-20 04:29:32,-92.0951,30.2081,Louisiana
amcgroartyai@e-recht24.de,Ardenna pacifica,2021-04-09 01:46:58,-80.689,32.3401,South Carolina
bmccamishdn@csmonitor.com,Melanoptila glabrirostris,2021-09-12 18:44:51,-84.2438,33.9677,Georgia
hstarking37@comsenz.com,Sitta pusilla,2021-11-24 14:38:10,-72.585,44.2595,Vermont
rbillinge1w@php.net,Myiopagis caniceps,2022-02-28 08:32:44,-74.0768,40.5973,New York
hdavidovitch9c@weebly.com,Phaethornis longirostris,2021-11-24 08:22:18,-87.9429,43.006,Wisconsin
awalklot4b@etsy.com,Fratercula cirrhata,2022-01-04 14:43:29,-93.2545,44.9378,Minnesota
ssegravebq@bigcartel.com,Buteo jamaicensis,2021-09-08 05:50:45,-78.8871,42.7684,New York
gbecraftaz@telegraph.co.uk,Androdon aequatorialis,2022-04-03 05:50:44,-118.3442,34.169,California
clochhead8d@google.com,Haematopus palliatus,2021-10-02 14:29:27,-76.8464,40.3086,Pennsylvania
pwedderburn6v@hp.com,Tringa flavipes,2021-12-25 04:52:11,-71.071,42.2868,Massachusetts
jkuzemkad5@dell.com,Charadrius montanus,2021-11-01 15:36:43,-96.7776,32.7673,Texas
abartolomeazzik@squidoo.com,Rallus limicola,2021-11-30 22:31:35,-73.7781,41.0247,New York
timosdg@hc360.com,Porzana porzana,2021-12-27 06:19:09,-81.3399,40.8259,Ohio
iblindmann5n@gov.uk,Notharchus hyperrhynchus,2021-11-06 17:43:20,-73.9708,42.6149,New York
cmccallum6g@psu.edu,Calcarius ornatus,2022-03-07 00:45:16,-78.8871,42.7684,New York
sotoole7@tumblr.com,Myiarchus nugator,2021-10-01 04:07:03,-74.2452,40.7918,New Jersey
vcammidge29@netvibes.com,Streptopelia decaocto,2022-04-01 02:10:46,-86.2434,32.3834,Alabama
mzapatero55@rediff.com,Anthus pratensis,2021-11-27 14:12:51,-81.6831,30.3449,Florida
psutherel2v@mozilla.org,Fratercula corniculata,2021-11-03 12:52:49,-92.3529,34.6725,Arkansas
djaquiss9d@netlog.com,Poecile gambeli,2021-08-25 04:46:28,-85.7905,38.2306,Kentucky
mbiernat1c@ed.gov,Rallus tenuirostris,2022-01-15 05:13:14,-78.9787,33.7377,South Carolina
crenouf6u@nba.com,Archilochus colubris,2021-08-03 19:59:56,-104.9548,39.9274,Colorado
msheehy3@deviantart.com,Chlorophonia occipitalis,2021-05-04 10:21:10,-121.4444,38.3774,California
dcallumdo@topsy.com,Buteo lagopus,2022-03-10 01:22:35,-97.2915,32.7714,Texas
mamos6t@cbc.ca,Toxostoma redivivum,2022-03-03 04:45:01,-86.8053,36.1901,Tennessee
gphillcockdb@time.com,Corvus frugilegus,2022-02-26 05:35:01,-121.8306,37.2458,California
bcofax1q@mozilla.com,Phaenicophilus poliocephalus,2021-11-02 15:45:35,-75.1179,40.0018,Pennsylvania
mmothcc@census.gov,Myiarchus antillarum,2021-04-28 09:08:19,-94.7405,38.949,Kansas
twordleybb@soundcloud.com,Phalacrocorax auritus,2022-03-29 03:06:46,-96.0297,36.1398,Oklahoma
jsturzakercz@mapy.cz,Spizella wortheni,2021-07-09 07:23:47,-97.1905,32.6889,Texas
cpardew4f@tumblr.com,Canachites canadensis,2021-05-11 11:53:21,-90.2435,38.6531,Missouri
oscotson70@free.fr,Colibri delphinae,2021-10-18 05:44:20,-117.3013,34.1446,California
rdedon5a@adobe.com,Sula nebouxii,2022-03-31 17:10:09,-97.1547,31.5175,Texas
gsiddell7d@networkadvertising.org,Streptopelia turtur,2021-08-22 05:48:26,-73.9708,42.6149,New York
cpolhillbt@nationalgeographic.com,Streptopelia turtur,2021-08-23 12:42:07,-86.293,41.5968,Indiana
jsturzakercz@mapy.cz,Polioptila nigriceps,2021-07-13 05:07:28,-106.3,31.6948,Texas
jstrephanbd@fotki.com,Rostrhamus sociabilis,2021-08-06 22:20:46,-96.7843,32.826,Texas
bcoady25@dropbox.com,Threnetes ruckeri,2021-09-16 00:17:32,-101.876,33.6021,Texas
abirdsey8g@mtv.com,Charadrius veredus,2022-03-19 14:21:11,-97.2915,32.7714,Texas
egentyck@google.de,Nyctanassa violacea,2021-12-30 18:58:14,-115.0669,36.173,Nevada
ispurnier3t@unicef.org,Podilymbus podiceps,2021-06-07 19:06:54,-85.6768,38.189,Kentucky
tpietron3n@opera.com,Aechmophorus clarkii,2022-03-21 09:25:17,-122.6897,45.5078,Oregon
blensch6p@nymag.com,Setophaga graciae,2021-10-11 04:44:50,-76.5142,36.8926,Virginia
mspearsm@sfgate.com,Phalacrocorax pelagicus,2022-02-24 03:03:39,-88.178,30.6589,Alabama
smorhall76@marriott.com,Zenaida graysoni,2021-05-04 16:44:59,-95.4342,29.834,Texas
clochhead8d@google.com,Dendrocolaptes picumnus,2021-04-14 19:50:01,-80.3084,40.9897,Pennsylvania
fofinan6j@globo.com,Sayornis saya,2021-07-04 10:02:51,-73.945,40.6451,New York
dcallumdo@topsy.com,Ramphocinclus brachyurus,2021-07-16 06:23:16,-70.9196,42.3389,Massachusetts
arayap@smugmug.com,Cyanerpes caeruleus,2021-06-25 22:07:02,-84.2819,33.8123,Georgia
jkingzetth@illinois.edu,Ornithion brunneicapillus,2021-08-11 18:22:13,-71.0846,42.3231,Massachusetts
shaglintonq@pinterest.com,Phylloscartes superciliaris,2021-09-30 22:30:30,-76.2397,36.9312,Virginia
lrogerot22@ow.ly,Thalassarche cauta,2022-01-18 06:07:14,-94.5467,39.0351,Missouri
tfeaviour3v@skyrock.com,Calyptophilus frugivorus,2021-05-08 16:41:36,-121.856,37.3729,California
vrahill85@ucla.edu,Pterocles exustus,2021-11-23 04:16:11,-93.8881,45.2009,Minnesota
edulantycj@goodreads.com,Rostrhamus sociabilis,2021-11-20 22:28:13,-86.5229,34.734,Alabama
ktrainc1@phpbb.com,Numida meleagris,2021-05-28 23:52:53,-79.205,37.4376,Virginia
imallonav@drupal.org,Corvus jamaicensis,2022-01-16 14:25:16,-97.6673,30.3423,Texas
mbiernat1c@ed.gov,Rissa brevirostris,2021-06-27 21:44:43,-87.5144,33.1617,Alabama
segle5q@ucoz.ru,Melanerpes pucherani,2021-07-04 23:01:19,-86.6091,34.7784,Alabama
alambis4g@patch.com,Puffinus lherminieri,2022-01-05 09:26:34,-98.5755,33.8581,Texas
pcowpland9p@about.com,Mellisuga minima,2021-08-26 00:11:16,-78.8871,42.7684,New York
tiianon6h@house.gov,Molothrus aeneus,2021-11-01 12:33:48,-112.1832,33.4724,Arizona
tkeers6i@ed.gov,Nesophlox lyrura,2021-06-02 07:06:44,-82.7119,27.6705,Florida
jbockhaj@typepad.com,Lagopus lagopus,2021-12-08 10:16:13,-72.701,41.7691,Connecticut
cgheraldidj@sbwire.com,Creagrus furcatus,2022-02-07 16:55:19,-89.8501,35.0821,Tennessee
gjewkes4q@addtoany.com,Dendrocygna bicolor,2021-05-12 16:20:19,-82.7248,27.8918,Florida
pplanks81@lulu.com,Branta leucopsis,2021-09-27 12:39:07,-93.7526,32.6076,Louisiana
rcurry2n@unblog.fr,Campylopterus hemileucurus,2021-11-19 07:21:09,-83.0114,39.969,Ohio
cperillioc4@gmpg.org,Aechmophorus occidentalis,2022-03-21 02:06:06,-84.2568,43.6375,Michigan
vcossom64@fastcompany.com,Coccyzus pluvialis,2021-05-08 20:29:35,-72.6933,41.7665,Connecticut
rmothersdale28@gov.uk,Empidonax traillii,2021-06-18 06:50:11,-93.7526,32.6076,Louisiana
cpardew4f@tumblr.com,Lampornis viridipallens,2021-10-07 19:24:34,-72.673,41.7638,Connecticut
eizakoff2l@europa.eu,Fulica atra,2022-03-04 16:18:53,-80.1403,25.9597,Florida
lpoulton16@furl.net,Pelecanus erythrorhynchos,2021-07-15 16:55:49,-75.1179,40.0018,Pennsylvania
anewhouse67@uol.com.br,Callipepla douglasii,2021-05-17 13:41:02,-73.6018,40.7548,New York
gcarbonell36@google.com,Anser anser,2021-10-10 17:55:59,-86.2843,32.3544,Alabama
hfidoeco@google.de,Euptilotis neoxenus,2021-11-06 16:19:25,-122.6727,38.4386,California
djorg9w@jimdo.com,Odontophorus leucolaemus,2021-10-03 06:55:32,-106.6729,35.0443,New Mexico
sfricke95@usgs.gov,Plectrophenax nivalis,2021-05-25 13:15:29,-84.2539,33.8932,Georgia
sthyer3a@google.nl,Phylloscartes superciliaris,2021-08-24 11:30:38,-95.4342,29.834,Texas
mdalgarnobh@vkontakte.ru,Cyanolyca pumilo,2022-03-10 16:04:00,-74.2452,40.7918,New Jersey
djaquiss9d@netlog.com,Eugenes spectabilis,2022-02-27 07:29:12,-106.4073,31.9386,Texas
shaglintonq@pinterest.com,Sarcoramphus papa,2021-12-01 12:09:42,-82.2491,27.0459,Florida
sotoole7@tumblr.com,Motacilla citreola,2021-07-06 12:57:19,-81.5547,38.2968,West Virginia
cpolhillbt@nationalgeographic.com,Rhynchocyclus brevirostris,2022-03-16 00:20:57,-104.9548,39.9274,Colorado
lthorneloe99@weather.com,Aethia cristatella,2022-01-20 23:04:38,-80.0794,26.5747,Florida
gsimminsbv@bravesites.com,Thalurania colombica,2022-02-24 16:39:38,-95.8841,36.0467,Oklahoma
scotesfordbs@wordpress.com,Zentrygon costaricensis,2021-10-08 22:53:01,-84.4702,33.723,Georgia
lforti@sbwire.com,Coccyzus vieilloti,2021-06-14 01:41:38,-77.0146,38.8933,District of Columbia
cnaisbet8f@mayoclinic.com,Pandion haliaetus,2022-02-16 23:02:41,-115.0885,36.0914,Nevada
lredgrove2a@japanpost.jp,Phalaropus tricolor,2021-04-19 11:17:45,-80.0844,26.3462,Florida
mamos6t@cbc.ca,Podiceps grisegena,2021-06-08 07:39:55,-81.619,41.4509,Ohio
rdunmuir5z@wiley.com,Himatione sanguinea,2021-04-09 21:32:54,-82.7813,27.9843,Florida
aelleraydi@youtu.be,Motacilla alba,2022-03-17 22:45:56,-78.4851,38.0401,Virginia
btompkins4d@bluehost.com,Diglossa baritula,2022-03-24 06:30:30,-89.9715,35.2017,Tennessee
bpomeroy7z@xrea.com,Elaenia albiceps,2022-01-10 22:34:04,-86.7697,36.0641,Tennessee
akirby9f@mozilla.org,Theristicus caudatus,2022-01-30 14:54:57,-84.2686,39.7505,Ohio
cgoodluck4e@ibm.com,Sporophila crassirostris,2021-11-10 03:55:01,-93.5722,41.6727,Iowa
adevonportab@boston.com,Lophotriccus pilaris,2021-06-02 01:57:53,-112.1226,33.3022,Arizona
mnield1y@cyberchimps.com,Charadrius nivosus,2021-10-06 23:16:45,-86.6091,34.7784,Alabama
wvilesah@army.mil,Rhynchortyx cinctus,2021-06-14 19:27:30,-83.078,39.9523,Ohio
cschankelborg6w@dropbox.com,Meleagris gallopavo,2021-07-23 03:27:10,-86.293,41.5968,Indiana
btotterdill2g@sitemeter.com,Nesophlox lyrura,2021-04-23 14:56:06,-104.4083,39.7388,Colorado
spurkinsb0@slashdot.org,Chaetura meridionalis,2022-03-24 01:02:36,-88.9815,39.854,Illinois
lratie83@wp.com,Pipilo chlorurus,2021-12-28 22:22:23,-94.8516,39.3432,Missouri
eoflaherty38@cisco.com,Cypseloides niger,2022-03-15 09:47:58,-80.6436,41.1039,Ohio
mmannion2c@discovery.com,Charadrius montanus,2021-09-09 17:46:59,-119.6397,36.7464,California
henion4v@twitter.com,Motacilla citreola,2021-08-19 03:29:21,-73.9772,40.7808,New York
suren3s@creativecommons.org,Motacilla alba,2021-08-27 15:49:44,-72.4876,42.1223,Massachusetts
cfippecn@bbb.org,Chlorestes eliciae,2021-10-29 14:07:36,-93.7526,32.6076,Louisiana
jshorland12@google.com.hk,Gallinula chloropus,2021-11-18 00:25:26,-93.1981,44.968,Minnesota
mgaltone68@jigsy.com,Coccyzus ferrugineus,2021-07-23 15:29:30,-157.8294,21.3278,Hawaii
sabramski9a@deviantart.com,Baeolophus bicolor,2021-06-09 07:45:07,-93.7526,32.6076,Louisiana
tblanch98@mlb.com,Puffinus puffinus,2021-10-19 10:20:49,-84.556,33.9328,Georgia
rphilippsonv@hhs.gov,Megascops barbarus,2021-11-13 15:33:55,-87.9933,42.9559,Wisconsin
scoakerc9@comcast.net,Emberiza rustica,2022-03-14 04:44:37,-121.4444,38.3774,California
rphilippsonv@hhs.gov,Junco vulcani,2021-10-31 11:51:01,-98.4925,29.4237,Texas
kcaurahdh@miibeian.gov.cn,Campylopterus hemileucurus,2021-11-01 21:30:58,-87.6054,41.7458,Illinois
ldefewc2@bluehost.com,Quiscalus quiscula,2022-03-06 10:57:23,-90.6115,41.5386,Iowa
csinnat6m@miibeian.gov.cn,Turdus plumbeus,2021-07-10 13:41:13,-87.5697,43.0174,Wisconsin
scudihy77@ifeng.com,Orthorhyncus cristatus,2021-09-15 17:11:39,-82.6358,27.4544,Florida
lratie83@wp.com,Tilmatura dupontii,2022-02-05 23:04:19,-84.4226,33.7629,Georgia
gburles31@washingtonpost.com,Ploceus cucullatus,2021-12-10 15:33:58,-88.9211,30.4067,Mississippi
apinare3b@github.io,Zenaida aurita,2021-11-20 21:17:10,-84.1537,34.2216,Georgia
hwitz1g@tmall.com,Lamprolaima rhami,2021-09-03 21:28:55,-96.6045,40.9317,Nebraska
lshirrell53@upenn.edu,Uropsila leucogastra,2021-05-09 17:17:31,-77.0338,38.9982,Maryland
laxford6x@latimes.com,Setophaga virens,2021-05-29 01:31:39,-93.5722,41.6727,Iowa
apetty8e@google.es,Toxostoma cinereum,2021-07-08 11:19:21,-77.5637,43.174,New York
hdavidovitch9c@weebly.com,Gymnasio nudipes,2021-07-08 09:21:37,-82.4079,28.06,Florida
mkingwell6l@abc.net.au,Atticora tibialis,2021-04-18 07:32:27,-92.0951,30.2081,Louisiana
edulantycj@goodreads.com,Hydroprogne caspia,2021-05-30 06:59:40,-73.8841,40.8139,New York
rglenny8w@fotki.com,Hirundapus caudacutus,2021-11-20 16:00:05,-80.1936,25.8655,Florida
iblindmann5n@gov.uk,Dendrocincla homochroa,2021-04-04 01:12:23,-121.8938,37.3352,California
blensch6p@nymag.com,Hydroprogne caspia,2021-07-09 15:15:57,-157.8585,21.3062,Hawaii
ralywincx@ustream.tv,Phaenostictus mcleannani,2021-12-23 11:34:11,-111.7822,43.3233,Idaho
jdemicoli5i@livejournal.com,Athene cunicularia,2021-11-04 14:32:36,-72.7188,41.7918,Connecticut
rvowell2e@who.int,Antrostomus arizonae,2021-12-05 06:57:17,-104.9548,39.9274,Colorado
eoflaherty38@cisco.com,Catharopeza bishopi,2021-05-30 22:57:50,-79.8577,32.8488,South Carolina
aletertre9s@networkadvertising.org,Nystalus radiatus,2022-01-07 04:10:10,-95.4342,29.834,Texas
rmacphadena2@rakuten.co.jp,Nesophlox evelynae,2021-09-04 09:16:25,-84.372,42.5992,Michigan
dhenrysr@usatoday.com,Buteogallus meridionalis,2021-08-18 04:36:58,-82.7963,27.8444,Florida
btompkins4d@bluehost.com,Chlidonias niger,2021-05-18 21:52:16,-73.9791,40.7524,New York
bmckelvey7a@mapy.cz,Peucaea sumichrasti,2021-12-10 23:07:32,-80.0649,42.1827,Pennsylvania
